Season,TeamID,avgOffRtg,avgDefRtg,avgNetRtg,avgeFG,avgTOV,avgReb,AvgWin,PointsFor,PointsAgainst,Elo,Margin,Seed
2003,1102,1.0375,1.0382,-0.0006,0.5844,0.2051,0.41,0.4286,1603,1596,1472.0,7,20
2003,1103,1.1057,1.1063,-0.0006,0.5366,0.1794,0.468,0.4815,2127,2110,1494.0,17,20
2003,1104,1.0337,0.9806,0.0531,0.4758,0.1991,0.5265,0.6071,1940,1820,1542.0,120,10
2003,1105,0.93,1.0098,-0.0798,0.458,0.2409,0.4792,0.2692,1866,1993,1388.0,-127,20
2003,1106,0.9365,0.9446,-0.0081,0.4817,0.2509,0.514,0.4643,1781,1785,1466.0,-4,20
2003,1107,0.9641,1.0929,-0.1288,0.489,0.1849,0.412,0.25,1846,2120,1393.0,-274,20
2003,1108,0.9357,0.9836,-0.0479,0.4735,0.247,0.4996,0.4242,2280,2413,1470.0,-133,20
2003,1110,1.0316,0.9631,0.0685,0.5171,0.2037,0.4927,0.5333,1991,1857,1520.0,134,20
2003,1111,1.0403,1.0209,0.0194,0.5035,0.2005,0.4868,0.6154,2165,2125,1525.0,40,20
2003,1112,1.1062,0.9178,0.1884,0.5176,0.1901,0.5415,0.8929,2386,1967,1665.0,419,1
2003,1113,1.0923,0.9875,0.1048,0.5173,0.2006,0.5391,0.6207,2203,2006,1560.0,197,10
2003,1114,1.0082,1.0006,0.0076,0.5161,0.2318,0.4923,0.5714,1961,1962,1525.0,-1,20
2003,1115,0.7572,1.0265,-0.2693,0.3962,0.2671,0.419,0.1429,1526,2077,1358.0,-551,20
2003,1116,0.9219,0.9973,-0.0754,0.4523,0.2481,0.5346,0.3214,1726,1863,1449.0,-137,20
2003,1117,1.0584,1.0522,0.0062,0.5075,0.1961,0.4715,0.4231,1849,1815,1474.0,34,20
2003,1119,0.8517,1.0638,-0.2121,0.4758,0.2749,0.4756,0.12,1342,1687,1351.0,-345,20
2003,1120,1.0264,0.966,0.0605,0.5211,0.2341,0.51,0.6333,2103,1967,1562.0,136,10
2003,1122,1.0262,0.9942,0.032,0.5137,0.2232,0.5066,0.7407,1882,1828,1599.0,54,13
2003,1123,1.0342,1.0757,-0.0415,0.4723,0.1816,0.4926,0.4333,2199,2281,1471.0,-82,20
2003,1124,1.0165,1.0031,0.0135,0.489,0.1958,0.4815,0.5,1932,1915,1507.0,17,20
2003,1125,1.0369,1.014,0.0229,0.5485,0.2411,0.5087,0.5714,2029,1980,1526.0,49,20
2003,1126,0.9477,1.0503,-0.1026,0.4676,0.2303,0.4792,0.2667,1941,2187,1389.0,-246,20
2003,1127,0.9781,0.9733,0.0049,0.4882,0.2205,0.4923,0.5185,1797,1787,1494.0,10,20
2003,1128,1.0395,0.9936,0.046,0.5198,0.2364,0.5024,0.6538,1764,1682,1550.0,82,20
2003,1129,0.9508,0.9645,-0.0137,0.459,0.2078,0.4822,0.4286,1845,1874,1466.0,-29,20
2003,1130,1.1164,1.0768,0.0396,0.5205,0.1861,0.4969,0.6207,2310,2214,1569.0,96,20
2003,1131,1.0247,0.9541,0.0706,0.4922,0.201,0.5148,0.6667,2043,1898,1566.0,145,20
2003,1132,0.9794,1.0441,-0.0647,0.5076,0.2467,0.4779,0.4074,1795,1907,1468.0,-112,20
2003,1133,1.0212,1.0192,0.002,0.4941,0.199,0.4963,0.3793,2097,2099,1457.0,-2,20
2003,1135,1.045,1.0191,0.0259,0.5258,0.22,0.4922,0.6071,2071,2018,1553.0,53,20
2003,1137,0.914,0.9325,-0.0185,0.4715,0.2485,0.5073,0.4643,1615,1661,1482.0,-46,20
2003,1138,0.9529,1.074,-0.1211,0.451,0.2132,0.4996,0.1786,1815,2022,1374.0,-207,20
2003,1139,1.1276,1.0062,0.1214,0.5621,0.1678,0.4807,0.8276,1989,1767,1628.0,222,12
2003,1140,1.1068,0.9547,0.1521,0.5327,0.2097,0.5339,0.7419,2246,1974,1613.0,272,12
2003,1141,1.0956,1.0138,0.0817,0.5728,0.2529,0.522,0.7931,2301,2124,1629.0,177,11
2003,1142,0.9776,0.9885,-0.0109,0.4862,0.2286,0.4833,0.5172,1958,1983,1513.0,-25,20
2003,1143,1.0523,0.9871,0.0652,0.5241,0.1984,0.5108,0.7241,2160,2023,1587.0,137,8
2003,1144,0.9384,1.1376,-0.1992,0.5013,0.2328,0.4261,0.1538,1691,2034,1354.0,-343,20
2003,1145,0.9959,1.0052,-0.0093,0.4906,0.2019,0.4915,0.3571,1967,1992,1436.0,-25,20
2003,1147,1.0072,1.09,-0.0828,0.4931,0.2232,0.4562,0.4167,1743,1869,1458.0,-126,20
2003,1148,1.0354,1.0383,-0.003,0.5168,0.2379,0.5351,0.5357,1891,1879,1498.0,12,20
2003,1149,0.9722,0.975,-0.0028,0.4776,0.2186,0.4886,0.4615,1682,1716,1473.0,-34,20
2003,1150,0.9939,1.018,-0.0241,0.4639,0.199,0.5062,0.4483,1985,2027,1493.0,-42,20
2003,1151,1.1095,1.0488,0.0607,0.5478,0.2255,0.5283,0.6786,2235,2117,1562.0,118,20
2003,1152,0.9274,1.1042,-0.1768,0.4772,0.2571,0.5003,0.1,1896,2249,1318.0,-353,20
2003,1153,1.0273,0.9465,0.0808,0.4655,0.1597,0.5013,0.6071,1885,1722,1550.0,163,8
2003,1154,0.9102,1.0376,-0.1274,0.4605,0.2357,0.4662,0.1667,1514,1713,1373.0,-199,20
2003,1155,1.0378,1.0245,0.0133,0.4897,0.2038,0.5156,0.5357,1916,1907,1505.0,9,20
2003,1156,0.9638,1.0716,-0.1078,0.5052,0.2515,0.4726,0.2667,1969,2196,1393.0,-227,20
2003,1157,1.0028,1.0293,-0.0264,0.4938,0.2484,0.5293,0.4231,1749,1817,1456.0,-68,20
