Season,TeamA,TeamB,Target,avgOffRtg_TeamA,avgDefRtg_TeamA,avgNetRtg_TeamA,avgeFG_TeamA,avgTOV_TeamA,avgReb_TeamA,AvgWin_TeamA,Margin_TeamA,Seed_TeamA,avgOffRtg_TeamB,avgDefRtg_TeamB,avgNetRtg_TeamB,avgeFG_TeamB,avgTOV_TeamB,avgReb_TeamB,AvgWin_TeamB,Margin_TeamB,Seed_TeamB,OffRtgDIff,DefRtgDiff,NetRtgDiff,TOVDiff,RebDiff,eFGDiff,SeedDiff,WinDiff,MarginDiff
2003,1411,1421,0,1.029,0.9911,0.0379,0.503,0.2151,0.5212,0.6,59,16,1.011,1.1089,-0.0979,0.4898,0.2281,0.4911,0.4483,-210,16,0.018,-0.1178,0.1358,-0.013,0.0301,0.0132,0,0.1517,269
2003,1112,1436,1,1.1062,0.9178,0.1884,0.5176,0.1901,0.5415,0.8929,419,1,1.0263,0.958,0.0684,0.4947,0.2129,0.5546,0.6552,135,16,0.0799,-0.0402,0.12,-0.0228,-0.0131,0.0229,-15,0.2377,284
2003,1113,1272,1,1.0923,0.9875,0.1048,0.5173,0.2006,0.5391,0.6207,197,10,1.0549,0.934,0.1209,0.4983,0.1941,0.5284,0.7931,252,7,0.0374,0.0535,-0.0161,0.0065,0.0107,0.019,3,-0.1724,-55
2003,1141,1166,1,1.0956,1.0138,0.0817,0.5728,0.2529,0.522,0.7931,177,11,1.1382,0.9309,0.2073,0.5675,0.1926,0.5148,0.8788,492,6,-0.0426,0.0829,-0.1256,0.0603,0.0072,0.0053,5,-0.0857,-315
2003,1143,1301,1,1.0523,0.9871,0.0652,0.5241,0.1984,0.5108,0.7241,137,8,1.072,1.0103,0.0618,0.5342,0.2099,0.501,0.6,132,9,-0.0197,-0.0232,0.0034,-0.0115,0.0098,-0.0101,-1,0.1241,5
2003,1140,1163,0,1.1068,0.9547,0.1521,0.5327,0.2097,0.5339,0.7419,272,12,1.0819,0.9738,0.108,0.5242,0.2156,0.534,0.7,259,5,0.0249,-0.0191,0.0441,-0.0059,-0.0001,0.0085,7,0.0419,13
2003,1161,1181,0,1.0722,1.0677,0.0045,0.5487,0.2341,0.5255,0.5667,40,14,1.1115,0.9649,0.1466,0.5217,0.1906,0.5134,0.8,347,3,-0.0393,0.1028,-0.1421,0.0435,0.0121,0.027,11,-0.2333,-307
2003,1153,1211,0,1.0273,0.9465,0.0808,0.4655,0.1597,0.5013,0.6071,163,8,1.104,0.9735,0.1305,0.5361,0.2081,0.5427,0.7419,275,9,-0.0767,-0.027,-0.0497,-0.0484,-0.0414,-0.0706,-1,-0.1348,-112
2003,1228,1443,1,1.1053,0.9065,0.1988,0.5519,0.1914,0.5202,0.8,421,4,1.0645,0.9537,0.1108,0.5331,0.2194,0.5165,0.7419,207,13,0.0408,-0.0472,0.088,-0.028,0.0037,0.0188,-9,0.0581,214
2003,1242,1429,1,1.0943,0.9019,0.1925,0.5255,0.2,0.5457,0.7667,449,2,1.0777,0.9839,0.0938,0.495,0.1998,0.5508,0.7333,176,15,0.0166,-0.082,0.0987,0.0002,-0.0051,0.0305,-13,0.0334,273
2003,1221,1266,0,1.0663,0.8801,0.1862,0.5105,0.2137,0.564,0.8621,323,14,1.1525,0.9958,0.1567,0.5367,0.1986,0.5483,0.8214,300,3,-0.0862,-0.1157,0.0295,0.0151,0.0157,-0.0262,11,0.0407,23
2003,1281,1356,1,1.0556,0.9676,0.088,0.5073,0.1993,0.5193,0.6774,164,6,1.0858,1.0001,0.0857,0.5261,0.1805,0.4933,0.8,193,11,-0.0302,-0.0325,0.0023,0.0188,0.026,-0.0188,-5,-0.1226,-29
