Season,TeamID,avgOffRtg,avgDefRtg,avgNetRtg,avgeFG,avgTOV,avgReb,AvgWin,PointsFor,PointsAgainst,Elo,Margin,Seed
2010,3102,0.802158,1.108682,-0.306524,0.407876,0.270515,0.466106,0.035714,1451,2010,1323.0,-559,20
2010,3103,0.908955,0.86689,0.042065,0.441526,0.267045,0.514311,0.566667,1867,1789,1536.0,78,20
2010,3104,0.856295,0.895214,-0.038919,0.436584,0.255714,0.493877,0.37931,1860,1943,1462.0,-83,20
2010,3105,0.823917,0.875159,-0.051242,0.437404,0.338842,0.503597,0.518519,1641,1748,1491.0,-107,20
2010,3106,0.794646,0.825272,-0.030626,0.377771,0.287325,0.527264,0.413793,1599,1665,1463.0,-66,20
2010,3107,0.794728,0.874401,-0.079673,0.371162,0.237824,0.47374,0.366667,1692,1854,1440.0,-162,20
2010,3108,0.779925,0.917654,-0.137729,0.380652,0.263879,0.442065,0.285714,1690,1968,1413.0,-278,20
2010,3110,0.941852,0.842554,0.099298,0.443632,0.235678,0.514389,0.619048,1269,1142,1544.0,127,20
2010,3111,0.898158,0.870451,0.027707,0.471535,0.284743,0.537003,0.612903,2059,1979,1552.0,80,20
2010,3112,0.903785,0.930018,-0.026233,0.464122,0.25368,0.493557,0.451613,2028,2062,1485.0,-34,20
2010,3113,0.899655,0.856439,0.043216,0.446273,0.276236,0.530224,0.566667,1877,1792,1530.0,85,20
2010,3114,1.012583,0.798836,0.213747,0.478594,0.185467,0.516362,0.8125,2139,1677,1640.0,462,11
2010,3115,0.825593,0.943693,-0.1181,0.412835,0.291597,0.482738,0.266667,1901,2193,1403.0,-292,20
2010,3116,0.88615,0.928796,-0.042646,0.446779,0.247496,0.479338,0.4,1948,2021,1468.0,-73,20
2010,3117,0.864046,0.921127,-0.057081,0.40956,0.246276,0.484867,0.4,1951,2074,1459.0,-123,20
2010,3119,0.806763,0.893245,-0.086482,0.401473,0.262552,0.480727,0.333333,1255,1410,1425.0,-155,20
2010,3120,0.92986,0.931299,-0.001439,0.456002,0.252557,0.535661,0.483871,1917,1927,1503.0,-10,20
2010,3122,0.891349,0.976498,-0.085149,0.424081,0.246063,0.515516,0.46875,2118,2297,1504.0,-179,16
2010,3123,0.929984,0.937474,-0.007491,0.474927,0.261998,0.516927,0.451613,2079,2088,1480.0,-9,20
2010,3124,0.993013,0.797297,0.195716,0.484261,0.231303,0.557426,0.71875,2307,1819,1610.0,488,4
2010,3125,0.903238,0.922908,-0.01967,0.424481,0.205934,0.489203,0.482759,1876,1921,1474.0,-45,20
2010,3126,0.812237,0.912432,-0.100195,0.399776,0.265085,0.495747,0.464286,1693,1891,1482.0,-198,20
2010,3127,0.908029,0.94565,-0.037621,0.444441,0.230342,0.491367,0.366667,1844,1915,1448.0,-71,20
2010,3129,0.935625,0.902097,0.033528,0.443783,0.226877,0.515624,0.6,2105,2040,1532.0,65,20
2010,3130,0.984817,0.926109,0.058709,0.49242,0.256862,0.530814,0.53125,2208,2093,1536.0,115,20
2010,3131,0.885942,0.874873,0.011069,0.426988,0.205901,0.471078,0.533333,1945,1943,1520.0,2,20
2010,3132,1.043235,0.845374,0.197861,0.501462,0.220634,0.514772,0.818182,2433,1984,1644.0,449,12
